timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1673813382650,955,Post user,200,OK,Crud users 1-151,text,true,,311,322,500,500,https://accor-fab.herokuapp.com/dev/users,955,0,670
1673813382502,1104,Post user,200,OK,Crud users 1-77,text,true,,311,322,500,500,https://accor-fab.herokuapp.com/dev/users,1104,0,820
1673813383399,207,Patch user,200,OK,Crud users 1-93,text,true,,269,327,500,500,https://accor-fab.herokuapp.com/dev/users/439,201,0,0
1673813382500,1106,Post user,200,OK,Crud users 1-75,text,true,,311,322,500,500,https://accor-fab.herokuapp.com/dev/users,1101,0,862
1673813382363,1243,Post user,200,OK,Crud users 1-6,text,true,,311,322,500,500,https://accor-fab.herokuapp.com/dev/users,1243,0,990
1673813382682,925,Post user,200,OK,Crud users 1-167,text,true,,311,322,500,500,https://accor-fab.herokuapp.com/dev/users,921,0,695
1673813382647,960,Post user,200,OK,Crud users 1-149,text,true,,311,322,500,500,https://accor-fab.herokuapp.com/dev/users,960,0,730
1673813382591,1016,Post user,200,OK,Crud users 1-121,text,true,,311,322,500,500,https://accor-fab.herokuapp.com/dev/users,1016,0,706
1673813383380,227,Patch user,200,OK,Crud users 1-86,text,true,,269,327,500,500,https://accor-fab.herokuapp.com/dev/users/365,227,0,0
1673813382660,947,Post user,200,OK,Crud users 1-156,text,true,,311,322,500,500,https://accor-fab.herokuapp.com/dev/users,947,0,719
1673813383381,226,Patch user,200,OK,Crud users 1-27,text,true,,269,327,500,500,https://accor-fab.herokuapp.com/dev/users/482,226,0,0
1673813383382,225,Patch user,200,OK,Crud users 1-34,text,true,,269,327,500,500,https://accor-fab.herokuapp.com/dev/users/433,225,0,0
1673813382488,1119,Post user,200,OK,Crud users 1-70,text,true,,311,322,500,500,https://accor-fab.herokuapp.com/dev/users,1116,0,812
1673813382451,1157,Post user,500,Internal Server Error,Crud users 1-51,,false,,151,322,500,500,https://accor-fab.herokuapp.com/dev/users,1157,0,866
1673813383402,208,Patch user,405,Method Not Allowed,Crud users 1-60,,false,,166,324,500,500,https://accor-fab.herokuapp.com/dev/users/,208,0,0
1673813382566,1047,Post user,200,OK,Crud users 1-109,text,true,,311,322,500,500,https://accor-fab.herokuapp.com/dev/users,1047,0,821
1673813382543,1073,Post user,200,OK,Crud users 1-97,text,true,,311,322,500,500,https://accor-fab.herokuapp.com/dev/users,1073,0,785
1673813382450,1168,Post user,200,OK,Crud users 1-50,text,true,,311,322,500,500,https://accor-fab.herokuapp.com/dev/users,1167,0,933
1673813382470,1149,Post user,200,OK,Crud users 1-61,text,true,,311,322,500,500,https://accor-fab.herokuapp.com/dev/users,1149,0,910
1673813382743,901,Post user,200,OK,Crud users 1-197,text,true,,311,322,500,500,https://accor-fab.herokuapp.com/dev/users,900,0,635
1673813382699,946,Post user,200,OK,Crud users 1-175,text,true,,311,322,500,500,https://accor-fab.herokuapp.com/dev/users,946,0,686
1673813382784,872,Post user,500,Internal Server Error,Crud users 1-218,,false,,151,322,500,500,https://accor-fab.herokuapp.com/dev/users,872,0,601
1673813383404,258,Patch user,200,OK,Crud users 1-18,text,true,,269,327,500,500,https://accor-fab.herokuapp.com/dev/users/806,258,0,0
1673813382790,928,Post user,500,Internal Server Error,Crud users 1-221,,false,,151,322,500,500,https://accor-fab.herokuapp.com/dev/users,928,0,645
1673813382694,1025,Post user,500,Internal Server Error,Crud users 1-173,,false,,151,322,500,500,https://accor-fab.herokuapp.com/dev/users,1025,0,696
1673813382680,1039,Post user,200,OK,Crud users 1-166,text,true,,311,322,500,500,https://accor-fab.herokuapp.com/dev/users,1039,0,710
1673813383436,283,Patch user,200,OK,Crud users 1-110,text,true,,269,327,500,500,https://accor-fab.herokuapp.com/dev/users/606,283,0,0
1673813382740,979,Post user,200,OK,Crud users 1-196,text,true,,311,322,500,500,https://accor-fab.herokuapp.com/dev/users,979,0,661
1673813382721,999,Post user,500,Internal Server Error,Crud users 1-186,,false,,151,322,500,500,https://accor-fab.herokuapp.com/dev/users,999,0,677
1673813382690,1030,Post user,200,OK,Crud users 1-171,text,true,,311,322,500,500,https://accor-fab.herokuapp.com/dev/users,1030,0,711
1673813382673,1047,Post user,200,OK,Crud users 1-162,text,true,,311,322,500,500,https://accor-fab.herokuapp.com/dev/users,1047,0,725
